date,individuals,cumsum
2022-02-24,84681,84681
2022-02-25,108301,192982
2022-02-26,148319,341301
2022-02-27,168364,509665
2022-02-28,162474,672139
2022-03-01,166690,838829
2022-03-02,194483,1033312
2022-03-03,167905,1201217
2022-03-04,172099,1373316
2022-03-05,197520,1570836
2022-03-06,209160,1779996
2022-03-07,207660,1987656
2022-03-08,185038,2172694
2022-03-09,170843,2343537
2022-03-10,135655,2479192
2022-03-11,118268,2597460
2022-03-12,115822,2713282
2022-03-13,125317,2838599
2022-03-14,113676,2952275
2022-03-15,110820,3063095
2022-03-16,106802,3169897
2022-03-17,94157,3264054
2022-03-18,80764,3344818
2022-03-19,76478,3421296
